latitude,longitude,cmip5_prAdjust_2021_mm_year,cmip5_prAdjust_2022_mm_year,cmip5_prAdjust_2023_mm_year,cmip5_prAdjust_2024_mm_year,cmip5_prAdjust_2025_mm_year,cmip5_prAdjust_2026_mm_year,cmip5_prAdjust_2027_mm_year,cmip5_prAdjust_2028_mm_year,cmip5_prAdjust_2029_mm_year,cmip5_prAdjust_2030_mm_year,cmip5_prAdjust_2031_mm_year,cmip5_prAdjust_2032_mm_year,cmip5_prAdjust_2033_mm_year,cmip5_prAdjust_2034_mm_year,cmip5_prAdjust_2035_mm_year,cmip5_prAdjust_2036_mm_year,cmip5_prAdjust_2037_mm_year,cmip5_prAdjust_2038_mm_year,cmip5_prAdjust_2039_mm_year,cmip5_prAdjust_2040_mm_year,cmip5_prAdjust_2041_mm_year,cmip5_prAdjust_2042_mm_year,cmip5_prAdjust_2043_mm_year,cmip5_prAdjust_2044_mm_year,cmip5_prAdjust_2045_mm_year,cmip5_prAdjust_2046_mm_year,cmip5_prAdjust_2047_mm_year,cmip5_prAdjust_2048_mm_year,cmip5_prAdjust_2049_mm_year,cmip5_prAdjust_2050_mm_year
15.25,79.25,500.38,1074.47,891.75,1023.85,1328.36,597.87,597.13,662.60,1731.33,969.38,847.33,1032.69,646.47,1054.60,987.08,606.33,926.21,956.47,641.44,583.98,796.98,1265.80,768.84,1875.85,404.90,1349.45,1116.73,751.46,572.14,399.65
15.25,99.25,3040.09,3133.31,3323.30,3674.39,2857.58,4254.19,4287.35,2857.22,3679.05,2254.64,2290.09,3516.63,2542.04,4096.57,4191.27,3054.59,2903.69,3645.11,2675.74,3338.96,3228.38,2991.14,2488.13,3479.45,3148.90,2768.96,3692.39,3571.89,3789.71,2227.25
15.25,101.25,1063.78,1093.81,1038.01,1168.71,827.12,1505.66,1674.72,927.88,1169.25,828.19,901.70,1373.23,735.48,1400.31,1457.45,1093.47,1079.99,1255.04,953.04,1171.02,1125.04,970.17,825.20,1175.20,1044.02,888.13,1191.02,1207.36,1386.78,800.47
15.25,103.25,2088.16,2423.56,2180.13,2831.75,2017.81,2787.83,3051.67,2127.81,2097.04,1919.54,1834.60,2928.07,1493.19,3370.16,2726.70,2100.09,2393.13,2658.14,1976.33,2473.08,2258.41,2178.96,1980.65,2636.02,2109.34,1847.18,2353.06,2431.89,3188.98,1764.86
15.25,105.25,5183.66,5028.63,4776.94,6837.49,4698.67,6351.22,5816.42,5148.44,4511.91,4894.20,4593.17,6417.79,4244.23,7190.59,6660.55,5826.77,5334.82,5800.55,4687.45,5609.86,4905.40,6108.20,5036.00,6550.59,5659.09,4789.51,5154.80,5287.94,7163.44,4320.09
15.25,107.25,7325.80,6685.78,6189.99,9446.48,7077.55,9587.48,6913.69,6895.72,6176.25,6630.25,5318.41,8949.10,5240.77,8036.29,8133.56,8727.28,6333.24,8189.80,4807.73,6600.96,5981.91,9994.62,5835.19,9255.42,9090.72,5845.78,6688.76,6680.04,9733.21,4844.43
15.25,121.25,3001.82,3114.90,3314.08,2738.53,2452.38,3140.04,2032.30,2495.39,2882.69,3263.82,2490.45,1766.54,2849.13,3291.83,2039.97,2354.05,2254.76,2978.29,2763.27,2399.61,4009.35,4271.11,1909.57,3693.32,2177.65,2378.19,2730.41,2175.19,2325.18,3218.95
17.25,-98.75,1866.73,1668.08,1857.92,1708.59,1795.33,1881.74,1427.00,2072.77,2113.86,2041.78,1272.44,1382.91,2109.58,1268.81,1563.80,1765.25,1936.88,1591.78,753.70,1275.48,2109.00,1622.73,1897.30,1494.57,1682.21,1382.80,2127.53,1547.75,1131.20,1598.29
17.25,-96.75,737.08,590.15,911.91,575.65,771.83,618.08,1125.80,691.68,758.69,1077.64,670.99,627.66,936.88,737.02,655.46,1115.20,768.01,744.84,412.34,683.32,890.66,582.27,1182.39,670.84,694.04,610.43,1182.48,818.82,450.62,716.20
17.25,-94.75,2725.80,2338.62,3044.85,2577.14,2997.40,2660.58,3322.42,2639.49,3095.36,3889.61,2693.07,1902.01,2795.75,3154.05,2694.46,4545.62,3040.87,2615.06,1161.60,2774.39,2500.44,2789.18,3922.18,2840.77,2476.17,3200.76,4847.92,3232.74,2383.20,3364.76
17.25,-92.75,1696.33,1421.54,2076.61,2086.98,2114.99,1787.50,2528.43,1914.52,2251.51,3661.13,2053.79,1161.34,1991.56,3214.57,2645.73,3590.69,2477.48,1840.38,965.78,2105.05,1979.61,2104.41,2545.23,2754.70,2126.45,2956.54,3961.59,1849.63,2219.18,2777.67
17.25,-90.75,2185.20,1613.90,2838.75,2496.83,2918.95,2760.22,3042.85,3292.79,3108.12,5476.91,2592.99,1441.93,2911.81,4606.57,4705.69,4741.57,3590.84,2924.10,1279.77,2772.57,3019.76,2774.22,2227.42,4819.93,2983.04,4209.22,5341.62,2165.29,2811.22,3681.56
