latitude,longitude,era5_t2m_2015_C,era5_t2m_2016_C,era5_t2m_2017_C,era5_t2m_2018_C,era5_t2m_2019_C,era5_t2m_2020_C,era5_t2m_2021_C,era5_t2m_2022_C,era5_t2m_2023_C,era5_t2m_2024_C
-33.0458,21,16.7141,16.9468,16.6323,16.6860,17.3588,16.8386,16.4110,16.9163,16.1933,16.8469
-33.0458,23,17.5712,18.0239,17.6301,17.7350,18.3977,17.7174,17.3775,17.8711,17.1944,18.1022
-33.0458,25,18.6120,19.2124,18.7013,18.7621,19.5339,18.8744,18.7154,18.9350,18.5727,19.5495
-33.0458,27,17.7939,18.5946,17.8706,18.1577,18.9120,18.3549,18.1475,18.3224,18.2198,18.8437
-33.0458,117,16.5246,15.1604,15.6534,15.5741,16.1824,16.1099,15.5614,15.5715,16.0288,16.7838
-33.0458,119,16.3425,15.1557,15.7114,15.8123,16.3370,16.1589,15.6932,15.4270,15.9826,16.5903
-33.0458,121,16.8285,15.8686,16.3487,16.3677,16.9412,16.7636,16.4382,16.1267,16.6373,17.1449
-33.0458,123,16.6832,15.9647,16.2298,16.4441,16.9748,16.7115,16.1767,15.9423,16.3414,16.9221
-33.0458,135,17.1450,16.8623,17.4355,17.5751,17.6979,16.9834,16.6497,16.4113,17.0135,17.4254
-33.0458,137,17.3432,16.9740,17.2590,17.5988,17.6599,16.7819,16.6689,16.5894,17.0904,17.5527
-33.0458,139,15.5287,15.4821,15.7394,15.9988,16.2958,14.9284,14.8889,14.8110,15.5179,16.0959
-33.0458,141,18.9173,18.9938,19.1887,19.4494,19.7051,18.3511,18.2460,17.9871,18.7478,19.3161
-33.0458,143,18.6097,18.6151,19.1993,19.3802,19.4714,18.1360,17.8371,17.5687,18.4066,18.9103
-33.0458,145,18.7710,18.6426,19.0496,19.4676,19.6474,18.2168,17.6607,17.7558,18.9304,18.9802
-33.0458,147,17.7397,17.8800,18.2190,18.7794,19.0786,17.4556,16.4302,16.5889,17.6841,17.6580
-33.0458,149,14.4882,14.6993,14.8709,14.9931,15.6689,14.3936,13.3223,13.6545,14.6424,15.0352
-33.0458,151,16.6907,17.3341,17.2864,17.2438,17.7092,16.7454,16.0347,15.9201,17.0428,17.3055
